name,main_category
Designer Mobile Pouch for Women Multicolored Embroidered Handmade Ethnic Pouch Cover with Sling & Clip by Sas It Up - Set ...,accessories
"WON Brand NL4FC Speakon Cable Amplifier Male Connector, 4 Pcs Audio Speaker Plug Twist Lock 4 Pole Speakon Male Plug. Colo...","tv, audio & cameras"
STREETMODE - Cotton Sweatshirts Pullovers for Men and Girls - New York Print,sports & fitness
Cherokee by Unlimited Men's Skinny Jeans,men's clothing
Your Gift Studio Customized Slim Genuine Leather Wallet for Men’s 3 Card Slots 2 Compartments for Currency (Royal Blue),stores
Generic 21 Mukhi Rudraksha (Brown),accessories
dc jewels Exclusive Limited Edition 24KT Gold Swarovski Crystal Adjustable Mens Rings,accessories
NEUTRON Rich Analog White and Black Color Dial Women Watch - GC75-(44-L-10) (Pack of 2),accessories
RIFFWAY-Mens Suede Height Increasing Casual Oxford Brogue Shoes All Occasions,men's shoes
Peter England Men Tunic Shirt,men's clothing
CAVALLO by Linen Club Pink Checked Regular Fit Shirt for Men,men's clothing
U.S. Polo Assn. Women's Regular fit Top,women's clothing
RAMDEV FASHION Faux Georgette Semi Stitched Pakistani salwar Suit for Women,women's clothing
Abhinav Gems Natural Blue Sapphire Stone 6.00 Ratti-6.50 Ratti Lab - Certified Gemstone Premium Quality Ceylon Earth Mind ...,accessories
Pepe Jeans Men's Slim Jeans,men's clothing
Liberty Force 10 Mens Casual Shoes,men's shoes
"Bell BLHFK168 Wired Earphones with Mic, Powerful Hd Sound with Extreme Bass, Tangle Free Cable, Comfort in-Ear Fit, 10mm D...","tv, audio & cameras"
Janasya Women's Cotton Lycra Stretchable Readymade Blouse (BL036-176GOLD_Gold_FreeSize),women's clothing
ARB Gems Original Neelam Birthstone 14mm Big Size 11.8 Ratti 10.75 Carats Shani Ratna Natural Blue Sapphire Gemstone From ...,accessories
Fidrox Tornado Sterilization Cool Mist Humidifiers Essential Oil Diffuser Aroma Air Humidifier with Led Night Light Colorf...,appliances
Pigeon by Stovekraft Gale Lite Dry Iron 1000 Watt (Black),appliances
Aathivel Fashions Pure Cotton Premium Nighties,women's clothing
"Yellow Weaves Combo Fridge Top Cover,2 Fridge Handle Covers 4 Fridge Mats (Multi Color, 7 Piece Set)",appliances
Pro by Khadim's Men's Black Running Sports Shoes,men's shoes
U.S. POLO ASSN. Mens Solid Cotton Mid Rise Briefs - Pack of 2,men's clothing
"O3+ Purifying Sulfur Cooling Facial Mask with Organic Willow Bark and Mint for Acne Mark Removal and Radiant Glow, 50g",beauty & health
"SUBHASH® 12 inch GRC ceiling fan For Home Office Shops And Show Rooms (High speed 2200 RPM, White)",appliances
Fastrack Women's Pink Orchid Nylon Commuter Bag,accessories
Red Tape Men'ss Mocassin Shoe-7 Tan,men's shoes
NEUTRON Fashionable Analog Black and Rose Gold Color Dial Girls Watch - GM376-GM223 (Pack of 2),accessories
"VAMOS® V-200 20T Single Speed Kids Bicycle for Girls & Boys 85% Assembled (Ideal for 7 to 9 Years and Height 3'6"" to 4'6"")...",sports & fitness
WIKIGO New Blue CR-7 Football - Size: 5  (Pack of 1),sports & fitness
Titox Fashionable Square Dial Digital Watch,accessories
Jockey US52 Assorted Colours Pack of 02,men's clothing
PC Jeweller The Caolaidhe 22k (916) yellow-gold Ring for Women,accessories
PC Jeweller The Clustered 18KT Yellow Gold and Diamond Ring for Women,accessories
Rajnandini Women's Pure Cambric Cotton Jaipuri Printed Kurti,women's clothing
Amazon Brand - Symbol Women Sweatshirt,women's clothing
Lee Men's Skinny Fit Jeans,men's clothing
Fashiol Men Thermal Winter wear Men Thermal Round Neck Full Sleeve top & Bottom with Soft Elastic Waistband/Thermal Set fo...,men's clothing
CAMISON Stylish Men's Denim Jeans,men's clothing
"Yellow Weaves Insulated Travel Fabric & Metal Lunch/Tiffin/Storage Bag, Regular Size (Grey)",home & kitchen
Giordano Analog Watch for Women with Crystal Studded Dial and Unique Designed Metal Strap Ladies Wrist Watch Gift for Wome...,accessories
Three Shades Gold Plated Link Chain Bracelet & Neck Chain Combo Set of 2 for Men,accessories
Underjeans Men Cotton Blend Brief,men's clothing
CURREN 3853 Fashion Casual Stainless Steel Watches Women's Dress Rhinestone Quartz Wristwatch Ladies Gifts,accessories
Clara Real Pearl Moti 10.25 to 10.5 RATTI Certified Energized Loose Gemstone,accessories
Ethnic Potli for Women | Potli for Wedding Ceremony| Handmade Designer Potli | Wristlets Ethnic Wedding Potli for Ladies,accessories
SEIRAA Neurologist Keychain Brain Surgeon Gift She Believed She Could So She Did Psychologist Key Ring Brain Cancer Warrio...,kids' fashion
Clarks Mens 26165505-brown Boat Shoe,men's shoes
EX+OH Women's Silky Net Lightly Padded Non-Wired Bralette Bra,women's clothing
Swastik Jewellers 22KT Yellow Gold Mangalsutra for Women,accessories
Walkaroo Men's Mesh Black Running Shoes (WS9504),men's shoes
"MI Cordless Beard Trimmer 1C, with 20 length settings, 60 MInutes of usage, & USB Fast charging, black","tv, audio & cameras"
IWEAR TRENDZ Dharani Mens Rib Pocket Trunks Cotton Underwear (Pack of 03) (Colours May Vary),men's clothing
WORLD WEAR FOOTWEAR Men's Stylish & Trending White Casual Sneakers Shoes,men's shoes
Wrangler Men's Slim Jeans (WMTS004292_Light Indigo,men's clothing
ONN Men's Cotton Boxers (Pack of 5) (Colors May Vary),men's clothing
Men's Cotton Regular Fit Track Suit,stores
NEUTRON Luxury Analog White and Black Color Dial Women Watch - G461-(46-L-10) (Pack of 2),accessories
GOPALLAL Portable Manual Lint Remover | Reusable Lint Remover for Clothes and Carpet | Hair Remover for Couch | Hair Remov...,appliances
Tjori Women's Pink Side Gathers and Flared Button Down Woven Kurta,stores
Puma Men's Regular Fit T-Shirt,men's shoes
JAISBOY Combo Set Gym Bag with Gym Gloves with Blue Wrist Support Band and Stop Blue Bottle and Hand Gripper,accessories
PC Jeweller The Seraphim 18KT Yellow Gold and Solitaire Stud Earrings for Women,accessories
Madhu Fashion Women's Cotton Ikat Print Elbow Length Sleeve Ready To Wear Non-Padded Blouse,women's clothing
"Melomane Melophones Opera Upto 24Hrs Playback,40Mm Drivers, Soft Padded Ear Cushions & Physical Noise Isolation Bluetooth ...","tv, audio & cameras"
Leriya Fashion Womens Tops Casual Rayon Blouses Tops 3/4 Sleeve V Neck Tunic Top Loose Shirt Top,women's clothing
NEUTRON Heart Analog Black and Blue Color Dial Women Watch - G621-(54-L-10) (Pack of 2),accessories
myaddiction 120cm Adjustable DIY Women Handbag Shoulder Hanging Bag Replacement Accessories Handbag Handles Straps Black,accessories
Shivam Mart Pack of 4 Cotton Fabric Travelling Pillow Cotton Air Pillow(Color - Multi Color),accessories
Jockey International Collection Women Skin 3/4th Sleeves Thermal T-Shirt - Pack of 1 Beige,sports & fitness
COOQUE Jiraiya Naruto Kakashi Sharingan Anime t-Shirt Printed Sleeve Round Neck Black T-Shirt for Men's/Boy's Pack of 1 pc,men's clothing
PRV Plain Casual Wear Baseball caps for Men and Women (Purple)(Pack of 1),sports & fitness
Alice Girls 3-PCS Fashion Cute Mini Leather Backpack sling & pouch set for Women,accessories
"Bell BLBHS185 Bluetooth 5 Wireless Sports in Ear Earphone with Super deep bass & Mic,120H Play Time Stereo Headset,Magneti...","tv, audio & cameras"
"Samsung 2 Ton 3 Star Wi-fi Enabled Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-bacterial Filter, 2023...",appliances
